Date,Volume,Volume_Change,Volume_Label
2018-02-25,3265197229.414529,0.0,0
2018-02-26,3261955537.9735403,-3241691.4409885406,0
2018-02-27,3915484543.412996,653529005.4394555,1
2018-02-28,3642202553.587127,-273281989.8258686,0
2018-03-01,3441035104.338815,-201167449.248312,0
2018-03-02,4030692043.948858,589656939.6100426,1
2018-03-03,3526443821.1412497,-504248222.8076081,0
2018-03-04,3861373865.898048,334930044.75679827,1
2018-03-05,4219752283.908359,358378418.0103111,1
2018-03-06,4804420267.106466,584667983.1981072,1
2018-03-07,5234978812.590111,430558545.4836445,1
2018-03-08,4793198292.940542,-441780519.64956856,0
2018-03-09,4328631178.029565,-464567114.91097736,0
2018-03-10,4505811284.202061,177180106.17249584,1
2018-03-11,4665413193.991818,159601909.78975773,1
2018-03-12,5058109366.785478,392696172.7936592,1
2018-03-13,5095834459.8423,37725093.05682278,1
2018-03-14,4034218467.208438,-1061615992.6338625,0
2018-03-15,5294581212.122477,1260362744.9140387,1
2018-03-16,4153900849.21764,-1140680362.9048367,0
2018-03-17,4224100753.480192,70199904.26255226,1
2018-03-18,4628590454.301849,404489700.8216572,1
2018-03-19,5074015987.8789,445425533.5770502,1
2018-03-20,4501108575.652147,-572907412.2267523,0
2018-03-21,4432036552.374764,-69072023.27738285,0
2018-03-22,3735442600.6573567,-696593951.7174077,0
2018-03-23,4026875184.2475977,291432583.59024096,1
2018-03-24,3067943937.3540545,-958931246.8935432,0
2018-03-25,3029683211.9522142,-38260725.40184021,0
2018-03-26,2833668579.5105386,-196014632.44167566,0
2018-03-27,3702257445.232483,868588865.7219443,1
2018-03-28,3173707435.987881,-528550009.2446017,0
2018-03-29,3386756377.237025,213048941.2491436,1
2018-03-30,4781184232.515512,1394427855.2784877,1
2018-03-31,4072365790.6569343,-708818441.8585782,0
2018-04-01,3598865261.866427,-473500528.7905073,0
2018-04-02,3914063316.877072,315198055.0106449,1
2018-04-03,4155294223.941801,241230907.0647292,1
2018-04-04,4231706034.988416,76411811.04661512,1
2018-04-05,4403251763.522565,171545728.5341487,1
2018-04-06,3711281114.355923,-691970649.1666417,0
2018-04-07,3240556397.7189403,-470724716.6369829,0
2018-04-08,3056918181.447544,-183638216.27139616,0
2018-04-09,3560325736.664332,503407555.2167878,1
2018-04-10,3585817439.024414,25491702.36008215,1
2018-04-11,3484554527.370305,-101262911.654109,0
2018-04-12,5569495530.073335,2084941002.7030296,1
2018-04-13,7108692314.5582285,1539196784.4848938,1
2018-04-14,5221454291.820428,-1887238022.7378006,0
2018-04-15,4064566540.138589,-1156887751.681839,0
2018-04-16,4364099389.488306,299532849.34971714,1
2018-04-17,4617797211.778915,253697822.29060936,1
2018-04-18,5174175282.725691,556378070.9467754,1
2018-04-19,5571921609.662269,397746326.9365778,1
2018-04-20,5856252722.490644,284331112.8283758,1
2018-04-21,6592572345.596165,736319623.1055202,1
2018-04-22,5388898212.038859,-1203674133.5573053,0
2018-04-23,5577263962.682184,188365750.64332485,1
2018-04-24,7015588899.813644,1438324937.1314602,1
2018-04-25,9496007199.258211,2480418299.4445667,1
2018-04-26,7840135344.800649,-1655871854.4575624,0
2018-04-27,6420471433.755679,-1419663911.0449696,0
2018-04-28,6044135769.568152,-376335664.1875267,0
2018-04-29,6578695509.1461735,534559739.57802105,1
2018-04-30,6189381726.745168,-389313782.40100574,0
2018-05-01,6156448195.898472,-32933530.8466959,0
2018-05-02,4980811639.294956,-1175636556.6035156,0
2018-05-03,6010894136.378407,1030082497.0834503,1
2018-05-04,6816067136.573046,805173000.1946392,1
2018-05-05,5831668636.078925,-984398500.4941206,0
2018-05-06,5579263731.540215,-252404904.5387106,0
2018-05-07,5126629695.110314,-452634036.42990017,0
2018-05-08,5187265753.795841,60636058.68552685,1
2018-05-09,5229298823.615705,42033069.81986332,1
2018-05-10,5032109490.297594,-197189333.31811047,0
2018-05-11,5789182783.718333,757073293.4207392,1
2018-05-12,5465653039.497356,-323529744.2209768,0
2018-05-13,4329079560.403619,-1136573479.0937376,0
2018-05-14,5019113653.882912,690034093.4792929,1
2018-05-15,5366406569.286464,347292915.40355206,1
2018-05-16,5131375183.098747,-235031386.18771648,0
2018-05-17,4471142637.654744,-660232545.4440031,0
2018-05-18,4472415561.77629,1272924.1215457916,1
2018-05-19,3931791516.723238,-540624045.053052,0
2018-05-20,3622202463.385024,-309589053.3382139,0
2018-05-21,3892425909.513094,270223446.1280699,1
2018-05-22,3751166478.6618953,-141259430.85119867,0
2018-05-23,4347099237.87214,595932759.2102447,1
2018-05-24,4962607292.142311,615508054.2701712,1
2018-05-25,4140362593.80529,-822244698.3370209,0
2018-05-26,3196176483.886512,-944186109.9187784,0
2018-05-27,3037874870.6619616,-158301613.22455025,0
2018-05-28,3215107342.645699,177232471.98373747,1
2018-05-29,3815081591.776013,599974249.1303139,1
2018-05-30,3899968538.104636,84886946.3286233,1
2018-05-31,3635904694.014932,-264063844.08970404,0
2018-06-01,3534811211.334462,-101093482.68046999,0
2018-06-02,3506255999.625372,-28555211.709090233,0
2018-06-03,3988066391.916733,481810392.29136086,1
2018-06-04,3930562178.7105055,-57504213.2062273,0
2018-06-05,3615936275.2699337,-314625903.4405718,0
2018-06-06,3324816448.420833,-291119826.8491006,0
2018-06-07,3371952934.700253,47136486.2794199,1
2018-06-08,2974280008.599861,-397672926.10039186,0
2018-06-09,2724319399.4094253,-249960609.1904359,0
2018-06-10,3104326326.997626,380006927.58820057,1
2018-06-11,3827038711.602335,722712384.6047091,1
2018-06-12,3102008136.8682976,-725030574.7340374,0
2018-06-13,3295765432.7675424,193757295.8992448,1
2018-06-14,3663602706.47204,367837273.7044978,1
2018-06-15,3114118486.941199,-549484219.5308414,0
2018-06-16,2350148804.5821905,-763969682.3590083,0
2018-06-17,2039619863.6724365,-310528940.90975404,0
2018-06-18,2259399591.5332966,219779727.8608601,1
2018-06-19,2930821031.408766,671421439.8754692,1
2018-06-20,3087939613.094331,157118581.685565,1
2018-06-21,2901154211.880981,-186785401.21334982,0
2018-06-22,3351734963.0013323,450580751.1203513,1
2018-06-23,4089480599.8167887,737745636.8154564,1
2018-06-24,3728670367.4808574,-360810232.3359313,0
2018-06-25,4343151231.320295,614480863.839438,1
2018-06-26,3889799376.7833753,-453351854.5369201,0
2018-06-27,3736840201.22038,-152959175.56299543,0
2018-06-28,3121465243.007189,-615374958.213191,0
2018-06-29,2839622172.243842,-281843070.7633467,0
2018-06-30,3771289831.842599,931667659.5987568,1
2018-07-01,3508360442.874656,-262929388.9679427,0
2018-07-02,3807596497.406929,299236054.5322728,1
2018-07-03,5004522312.659328,1196925815.2523994,1
2018-07-04,4840988987.800326,-163533324.8590021,0
2018-07-05,4643821207.807072,-197167779.99325466,0
2018-07-06,4811073504.46022,167252296.65314865,1
2018-07-07,4981676689.534587,170603185.07436657,1
2018-07-08,4983369408.61671,1692719.0821228027,1
2018-07-09,4925375835.097639,-57993573.519070625,0
2018-07-10,4677923064.3434,-247452770.75423908,0
2018-07-11,3967828329.8168654,-710094734.5265346,0
2018-07-12,3447735128.478174,-520093201.33869123,0
2018-07-13,3821904703.0469184,374169574.5687442,1
2018-07-14,3734323550.331161,-87581152.71575737,0
2018-07-15,3455989685.6982293,-278333864.6329317,0
2018-07-16,4630543497.449322,1174553811.7510924,1
2018-07-17,5419192992.699332,788649495.2500105,1
2018-07-18,6330311100.250035,911118107.550703,1
2018-07-19,5846088135.45322,-484222964.7968149,0
2018-07-20,4966521399.751789,-879566735.7014313,0
2018-07-21,4512259647.477471,-454261752.27431774,0
2018-07-22,3665112371.9181433,-847147275.5593281,0
2018-07-23,4687601679.596329,1022489307.6781855,1
2018-07-24,5764717500.864327,1077115821.2679987,1
2018-07-25,6176077122.425064,411359621.56073666,1
2018-07-26,4940766514.848018,-1235310607.5770464,0
2018-07-27,4974252390.807898,33485875.959879875,1
2018-07-28,4271083963.4205832,-703168427.3873143,0
2018-07-29,3666674348.965748,-604409614.4548354,0
2018-07-30,4448141891.506246,781467542.5404978,1
2018-07-31,5247534991.598222,799393100.0919762,1
