Date,Close,Price Change,Label,Price Change (%)
2018-02-25,9699.647408137,,4,
2018-02-26,10371.772676836,672.125268699001,4,6.929378362095484
2018-02-27,10736.490533616,364.71785678000015,4,3.5164466879856526
2018-02-28,10412.024007874,-324.46652574200016,0,-3.0220911081334623
2018-03-01,10929.765497461,517.7414895869988,4,4.97253453502855
2018-03-02,11095.091955664,165.32645820300058,3,1.5126258494878586
2018-03-03,11494.898944222,399.8069885580008,4,3.603458088996736
2018-03-04,11516.383565834,21.48462161199859,2,0.18690570240114113
2018-03-05,11527.568787431,11.185221597001146,2,0.09712442741300897
2018-03-06,10697.57229427,-829.9964931610011,0,-7.200100111881191
2018-03-07,9968.268316381,-729.3039778889997,0,-6.817471832180477
2018-03-08,9433.592923413,-534.6753929679999,0,-5.363774087916151
2018-03-09,9345.521676052,-88.07124736100013,1,-0.9335917722548603
2018-03-10,8894.85712022,-450.6645558319997,0,-4.822251463894545
2018-03-11,9570.367448236,675.5103280160001,4,7.594392117670035
2018-03-12,9216.378705589,-353.9887426469995,0,-3.6987999108879177
2018-03-13,9208.440502074,-7.938203515001078,2,-0.08613148144820393
2018-03-14,8262.032897029,-946.4076050450004,0,-10.277610034314089
2018-03-15,8291.944665773,29.911768744001165,2,0.3620388482688863
2018-03-16,8315.139162841,23.19449706799969,2,0.27972324952600935
2018-03-17,7906.383969743,-408.75519309799984,0,-4.915794974600784
2018-03-18,8092.439641691,186.05567194800005,4,2.3532334460357296
2018-03-19,8588.661985749,496.2223440580001,4,6.131925179911613
2018-03-20,8892.783654103,304.1216683539988,4,3.5409667868944172
2018-03-21,8978.018989541,85.23533543800113,3,0.9584775561100489
2018-03-22,8721.57,-256.4489895410006,0,-2.856409524637371
2018-03-23,8865.051157414,143.48115741400034,3,1.6451299182830725
2018-03-24,8661.018753079,-204.03240433499923,0,-2.301536682778904
2018-03-25,8466.556129044,-194.4626240350008,0,-2.245262706143769
2018-03-26,8187.383924464,-279.17220457999974,0,-3.2973525519108815
2018-03-27,7828.22173159,-359.16219287400054,0,-4.386775998140502
2018-03-28,7954.826953349,126.6052217590004,3,1.6172922293207215
2018-03-29,7178.058622813,-776.7683305360006,0,-9.764742025079244
2018-03-30,6880.453143775,-297.60547903799943,0,-4.146044141965666
2018-03-31,6955.124517538,74.67137376299979,3,1.0852682549049586
2018-04-01,6830.630577316,-124.49394022199976,1,-1.789959905219185
2018-04-02,7061.622525898,230.99194858200008,4,3.3817075300354604
2018-04-03,7454.691790393,393.0692644949995,4,5.566274082952538
2018-04-04,6840.936109893,-613.7556804999995,0,-8.233146289038507
2018-04-05,6819.726657106,-21.209452787000373,2,-0.3100372879718649
2018-04-06,6637.296686235,-182.4299708709996,0,-2.6750334733857906
2018-04-07,6894.151859073,256.8551728379998,4,3.869876321344634
2018-04-08,7000.923354625,106.77149555199958,3,1.5487256117151516
2018-04-09,6772.871609032,-228.0517455929994,0,-3.2574523965091307
2018-04-10,6844.301557074,71.42994804199952,3,1.054647897750538
2018-04-11,6932.843296341,88.54173926699968,3,1.2936563143610469
2018-04-12,7821.822516784,888.9792204430005,4,12.822721969097216
2018-04-13,7866.931622664,45.10910588000024,3,0.5767083794500083
2018-04-14,7910.243775102,43.31215243799943,3,0.5505596656416811
2018-04-15,8301.987534486,391.74375938399953,4,4.952360136068612
2018-04-16,8038.471104588,-263.51642989799893,0,-3.174136660689575
2018-04-17,7889.503630474,-148.96747411400065,1,-1.8531816831309667
2018-04-18,8133.862763488,244.3591330140007,4,3.097268782159368
2018-04-19,8280.643109928,146.78034643999945,3,1.8045589249290117
2018-04-20,8813.044081412,532.4009714839995,4,6.429464045439692
2018-04-21,8884.348603911,71.30452249900009,3,0.8090793809756525
2018-04-22,8787.210205792,-97.13839811899923,1,-1.0933654502957912
2018-04-23,8924.023356307,136.8131505149995,3,1.5569577523571798
2018-04-24,9715.110087646,791.0867313390008,4,8.864686921509502
2018-04-25,8846.751894883,-868.3581927630003,0,-8.9382228809453
2018-04-26,9268.527836866,421.775941983,4,4.767579638205488
2018-04-27,8974.089790534,-294.43804633199943,0,-3.1767509524097015
2018-04-28,9337.281362637,363.191572103,4,4.0471131956591355
2018-04-29,9413.40930469,76.12794205299906,3,0.8153116426117712
2018-04-30,9240.335679495,-173.0736251950002,1,-1.8385859957111506
2018-05-01,9096.810021871,-143.525657623999,1,-1.5532515549461445
2018-05-02,9236.704388957,139.89436708599897,3,1.5378398224175083
2018-05-03,9769.29029264,532.5859036830007,4,5.765973243874045
2018-05-04,9718.724265271,-50.56602736900095,1,-0.5176018508437297
2018-05-05,9864.060648696,145.33638342500126,3,1.4954265545360501
